Year,Pace
1896.0,4.47083333333333
1900.0,4.46472925981123
1904.0,5.222083333333329
1908.0,4.1546786744085
1912.0,3.9033167495854086
1920.0,3.5695126705652998
1924.0,3.8245447722874
1928.0,3.62483706600308
1932.0,3.59284275388079
1936.0,3.5388079156298096
1948.0,3.6701030927835
1952.0,3.39029110874116
1956.0,3.4364261168384895
1960.0,3.2058300746534
1964.0,3.1327566457321203
1968.0,3.32819844373346
1972.0,3.1358375794920397
1976.0,3.07895880238575
1980.0,3.10581822490816
1984.0,3.0655290911245405
1988.0,3.09357348817
1992.0,3.1611170359837297
1996.0,3.14255243512264
2000.0,3.0852786665086707
2004.0,3.1026582928467
2008.0,2.99877552632618
2012.0,3.03392977050993
